filename,start time,end time,freq. band (Hz),number of peaks,peaks freq. (Hz),SPL (dB),SNLD (dB),AIS
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319205015.wav,2004-03-19 20:50:15,2004-03-19 20:51:55,50.0 - 1000.0,58,"[60.0, 89.2, 113.1, 127.7, 150.2, 176.8, 187.4, 198.0, 202.7, 231.9, 239.9, 247.2, 262.4, 269.7, 277.0, 284.3, 299.6, 306.9, 314.2, 321.5, 329.5, 336.8, 344.1, 352.1, 359.4, 366.7, 374.0, 381.9, 389.2, 403.8, 411.1, 419.1, 426.4, 433.7, 441.7, 471.6, 478.9, 486.2, 493.5, 501.4, 508.7, 523.3, 530.6, 538.6, 545.9, 553.2, 568.5, 575.8, 578.4, 583.1, 591.1, 658.1, 688.0, 695.3, 735.8, 824.1, 936.3, 996.7]",86.0,"[ 3.65  5.43  2.77  5.54  5.23  6.61  2.22  2.52  5.48  2.51  5.42  6.45
  6.69  3.01  4.38  8.67 11.1   6.99  6.5   4.52  5.27  8.15  6.96  5.63
 11.62  7.36  1.32  7.97  5.02  2.69  5.33  4.03  6.17  3.42  4.72  6.27
  6.15  3.87  1.09  7.57  6.77  1.93  1.8   5.59  1.3   1.02  2.97  1.63
  4.17  1.21  1.29  2.19  1.72  3.27  3.46 10.44  4.6   6.43]",0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319205015.wav,2004-03-19 20:51:55,2004-03-19 20:53:35,50.0 - 1000.0,62,"[60.0, 88.5, 105.8, 113.1, 120.4, 127.7, 150.2, 157.5, 173.5, 177.5, 187.4, 197.4, 202.7, 232.6, 239.9, 247.2, 254.5, 262.4, 269.7, 277.0, 284.3, 292.3, 299.6, 306.9, 314.2, 321.5, 329.5, 336.8, 344.1, 351.4, 359.4, 366.7, 374.0, 381.9, 389.2, 393.9, 403.8, 411.1, 419.1, 426.4, 433.7, 441.0, 449.0, 471.6, 478.9, 486.2, 501.4, 508.7, 516.0, 523.3, 531.3, 538.6, 545.9, 568.5, 578.4, 591.1, 658.1, 688.0, 695.3, 824.1, 826.1, 936.3]",85.0,"[ 6.06  6.09  2.51  1.4   5.35  3.51  5.71  3.71  1.26  3.93  2.24  8.06
  3.02  5.89  6.13  2.83  4.28  5.42  3.25  6.93  6.89  3.21 11.05  5.79
  8.1   5.66  6.91  8.65  6.17  4.83 11.46  7.09  2.53  7.54  3.32  1.94
  1.43  4.67  5.31  5.89  2.48  2.67  1.9   4.22  5.88  3.53  5.7   5.26
  1.56  1.51  6.4   3.36  1.46  5.22  3.88  2.32  2.17  1.34  3.36 10.37
  5.68  5.83]",0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319205015.wav,2004-03-19 20:53:34,2004-03-19 20:55:14,50.0 - 1000.0,59,"[60.0, 77.9, 87.2, 88.5, 105.8, 120.4, 127.7, 150.2, 173.5, 177.5, 197.4, 202.7, 231.9, 239.9, 247.2, 254.5, 262.4, 269.7, 277.0, 284.3, 299.6, 306.9, 314.2, 321.5, 329.5, 336.8, 344.1, 351.4, 353.4, 359.4, 366.7, 374.0, 376.0, 381.9, 389.2, 393.9, 403.8, 411.8, 419.1, 426.4, 433.7, 441.7, 449.0, 478.9, 486.2, 500.8, 508.7, 516.0, 523.3, 531.3, 538.6, 568.5, 597.7, 658.1, 695.3, 717.9, 824.1, 826.1, 982.1]",85.0,"[ 5.39  1.93  1.49  3.01  2.87  3.39  4.79  5.68  3.64  1.69  9.86  1.06
  3.5   7.38  5.41  3.6   6.33  2.99  7.6   7.71 11.14  5.2   8.05  4.45
  6.62  8.66  7.18  6.32  2.53 11.42  6.48  3.29  2.42  6.74  3.35  1.3
  2.68  5.58  5.58  6.96  2.59  3.86  2.36  6.07  3.56  2.28  5.63  1.95
  2.44  3.87  5.21  6.22  2.24  2.06  2.37  1.    9.12  4.51  7.14]",0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319215015.wav,2004-03-19 21:50:15,2004-03-19 21:51:55,50.0 - 1000.0,47,"[59.3, 87.2, 88.5, 120.4, 128.3, 150.2, 164.8, 176.8, 197.4, 202.7, 217.3, 239.9, 262.4, 269.7, 277.0, 284.3, 291.6, 299.6, 306.9, 314.2, 321.5, 329.5, 336.8, 344.1, 352.1, 359.4, 366.7, 374.0, 389.2, 394.5, 411.8, 426.4, 449.0, 470.9, 486.2, 508.7, 516.0, 523.3, 538.6, 545.9, 553.2, 568.5, 597.7, 658.1, 695.3, 824.1, 936.3]",72.0,"[ 2.95  2.39  4.33  6.79  4.39  6.76  2.62  4.23  9.06  2.84  3.81  4.01
  5.4   2.76  3.38  8.27  2.66 11.18  6.3   3.12  4.55  5.89  6.63  3.53
  7.84 10.73  4.01  5.33  2.19  3.18  3.65  6.26  6.47  1.75  4.16  6.82
  1.83  4.18  4.64  1.99  2.05  6.22  1.39  3.34  1.03  8.45  5.81]",0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319215015.wav,2004-03-19 21:51:55,2004-03-19 21:53:35,50.0 - 1000.0,43,"[60.0, 91.2, 97.8, 105.8, 112.4, 150.2, 176.8, 197.4, 202.7, 239.9, 261.8, 277.0, 284.3, 299.6, 306.9, 314.2, 322.2, 329.5, 336.8, 344.1, 352.1, 359.4, 366.7, 368.7, 374.0, 411.8, 419.1, 426.4, 449.0, 470.9, 478.9, 486.2, 508.7, 523.3, 538.6, 545.9, 553.2, 568.5, 597.7, 658.1, 695.3, 824.1, 936.3]",71.0,"[ 3.69  4.4   5.06  3.16  2.72  8.11  3.61  9.53  3.07  3.5   4.18  5.02
  6.78 10.88  7.07  4.79  6.94  5.85  6.26  4.29  8.85 10.44  5.98  3.92
  5.05  4.47  3.15  7.15  4.7   2.32  3.15  2.45  5.61  3.85  3.85  2.48
  1.62  4.74  1.29  2.42  1.03  7.94  6.23]",0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319215015.wav,2004-03-19 21:53:34,2004-03-19 21:55:14,50.0 - 1000.0,44,"[60.0, 108.4, 150.2, 172.8, 177.5, 187.4, 197.4, 202.7, 217.3, 239.9, 247.2, 262.4, 269.7, 284.3, 299.6, 306.9, 314.2, 322.2, 329.5, 336.8, 344.1, 352.1, 359.4, 366.7, 374.0, 381.9, 403.8, 411.8, 419.1, 426.4, 449.0, 471.6, 486.2, 508.7, 516.0, 523.3, 538.6, 545.9, 553.2, 568.5, 597.7, 658.1, 688.0, 824.1]",71.0,"[ 4.24  1.2   4.64  2.82  2.82  3.14  8.38  3.56  3.02  5.78  2.79  4.74
  2.14  5.95 10.22  8.18  4.69  7.77  6.    8.04  4.68  8.4  10.3   5.91
  4.3   2.84  1.77  3.22  3.25  7.81  2.54  2.97  1.92  4.85  1.65  3.59
  5.06  1.75  1.58  3.79  2.02  3.18  1.16  8.12]",0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319225015.wav,2004-03-19 22:50:15,2004-03-19 22:51:55,50.0 - 1000.0,5,"[299.6, 359.4, 419.8, 449.0, 539.3]",91.0,[4.5  8.46 2.86 1.58 1.82],0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319225015.wav,2004-03-19 22:51:55,2004-03-19 22:53:35,50.0 - 1000.0,7,"[299.0, 336.8, 359.4, 366.7, 419.1, 482.2, 538.6]",92.0,[4.02 3.76 8.23 4.04 4.91 2.05 3.78],0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319225015.wav,2004-03-19 22:53:34,2004-03-19 22:55:14,50.0 - 1000.0,15,"[197.4, 299.0, 321.5, 336.8, 344.1, 351.4, 358.7, 366.7, 419.1, 448.3, 500.8, 515.4, 530.6, 537.9, 656.8]",89.0,"[3.22 4.83 3.2  4.21 2.99 3.75 8.17 4.15 5.32 2.95 2.24 2.34 2.42 4.61
 1.03]",0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319235015.wav,2004-03-19 23:50:15,2004-03-19 23:51:55,50.0 - 1000.0,55,"[60.0, 75.2, 89.2, 120.4, 127.7, 135.0, 150.2, 177.5, 187.4, 197.4, 202.7, 217.3, 232.6, 239.9, 247.2, 254.5, 261.8, 277.0, 284.3, 292.3, 299.6, 306.9, 314.2, 322.2, 329.5, 336.8, 344.1, 359.4, 366.7, 374.0, 394.5, 403.8, 411.1, 419.1, 426.4, 433.7, 456.3, 463.6, 470.9, 478.9, 486.2, 493.5, 500.8, 508.7, 516.0, 523.3, 538.6, 553.2, 568.5, 575.8, 583.1, 591.1, 695.3, 697.9, 725.2]",74.0,"[2.33 3.13 7.83 6.91 5.03 2.92 4.44 3.52 2.93 8.78 5.57 4.32 3.83 5.78
 6.16 7.61 3.93 8.59 7.36 3.86 9.48 8.53 4.47 4.   7.57 4.49 8.75 8.94
 5.86 5.34 5.   5.53 5.39 5.38 4.3  2.54 3.67 2.16 1.63 4.19 4.93 1.44
 1.75 8.17 1.92 4.   7.34 2.1  4.82 1.15 1.04 1.33 2.54 8.27 1.31]",0
