filename,start time,end time,freq. band (Hz),number of peaks,peaks freq. (Hz),SPL (dB),SNLD (dB),AIS
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319205015.wav,2004-03-19 20:50:15,2004-03-19 20:51:55,50.0 - 1000.0,4,"[300.0, 359.5, 367.0, 697.0]",86.0,[11.28 11.73  8.6  11.65],0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319205015.wav,2004-03-19 20:51:55,2004-03-19 20:53:35,50.0 - 1000.0,4,"[300.0, 359.5, 367.0, 697.0]",85.0,[11.16 11.59  8.27 11.34],0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319205015.wav,2004-03-19 20:53:34,2004-03-19 20:55:14,50.0 - 1000.0,5,"[197.0, 300.0, 352.0, 359.5, 367.0]",85.0,[ 9.42 11.26  6.93 11.55  7.66],0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319215015.wav,2004-03-19 21:50:15,2004-03-19 21:51:55,50.0 - 1000.0,8,"[120.0, 150.0, 197.5, 285.0, 299.5, 307.0, 352.0, 359.5]",72.0,[ 7.1   6.76  9.01  8.8  11.08  6.61  7.84 10.9 ],0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319215015.wav,2004-03-19 21:51:55,2004-03-19 21:53:35,50.0 - 1000.0,7,"[150.0, 197.5, 299.5, 307.0, 352.0, 359.5, 367.0]",71.0,[ 8.03  9.49 10.82  7.32  8.86 10.59  6.81],0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319215015.wav,2004-03-19 21:53:34,2004-03-19 21:55:14,50.0 - 1000.0,9,"[197.5, 300.0, 307.0, 322.0, 337.0, 352.0, 359.5, 367.0, 427.0]",71.0,[ 8.37 10.43  8.39  7.66  8.36  8.39 10.46  6.72  9.38],0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319225015.wav,2004-03-19 22:50:15,2004-03-19 22:51:55,50.0 - 1000.0,3,"[300.0, 360.0, 367.0]",91.0,[4.69 9.51 1.12],0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319225015.wav,2004-03-19 22:51:55,2004-03-19 22:53:35,50.0 - 1000.0,6,"[299.5, 337.0, 345.0, 359.5, 367.0, 420.0]",92.0,[4.55 3.84 2.82 8.44 4.61 7.51],0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319225015.wav,2004-03-19 22:53:34,2004-03-19 22:55:14,50.0 - 1000.0,9,"[197.0, 299.0, 337.0, 352.0, 359.5, 367.0, 420.0, 539.0, 658.0]",89.0,[3.1  4.83 4.26 3.78 9.56 4.38 6.18 8.83 6.14],0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319235015.wav,2004-03-19 23:50:15,2004-03-19 23:51:55,50.0 - 1000.0,10,"[88.0, 120.0, 197.5, 202.0, 277.0, 285.0, 300.0, 307.0, 509.5, 539.5]",74.0,[ 8.97  7.28  8.57  2.97  8.59  8.46  9.55  8.75 10.2  10.26],0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319235015.wav,2004-03-19 23:51:55,2004-03-19 23:53:35,50.0 - 1000.0,13,"[120.0, 135.0, 142.0, 150.0, 197.0, 255.0, 277.0, 285.0, 300.0, 307.0, 345.0, 509.0, 539.0]",74.0,"[ 7.52  7.49  7.73  8.58  8.92  9.47  8.51  8.99 10.56  8.7  10.31  8.8
  8.91]",0
