filename,start time,end time,freq. band (Hz),number of peaks,peaks freq. (Hz),SPL (dB),SNLD (dB),AIS
./to_push/data/2017-ULU01_0+1_20170728_193602.wav,2017-07-28 19:36:02,2017-07-28 19:37:42,50.0 - 1000.0,2,"[96.5, 150.2]",93.0,[5.3  7.27],None
./to_push/data/2017-ULU01_0+1_20170728_193602.wav,2017-07-28 19:37:42,2017-07-28 19:39:22,50.0 - 1000.0,0,[],92.0,[],None
./to_push/data/2017-ULU01_0+1_20170728_193602.wav,2017-07-28 19:39:22,2017-07-28 19:41:02,50.0 - 1000.0,0,[],94.0,[],None
./to_push/data/2017-ULU01_0+1_20170930_230602.wav,2017-09-30 23:06:02,2017-09-30 23:07:42,50.0 - 1000.0,0,[],96.0,[],None
./to_push/data/2017-ULU01_0+1_20170930_230602.wav,2017-09-30 23:07:42,2017-09-30 23:09:22,50.0 - 1000.0,0,[],96.0,[],None
./to_push/data/2017-ULU01_0+1_20170930_230602.wav,2017-09-30 23:09:22,2017-09-30 23:11:02,50.0 - 1000.0,0,[],96.0,[],None
./to_push/data/2017-ULU01_0+1_20170809_060602.wav,2017-08-09 06:06:02,2017-08-09 06:07:42,50.0 - 1000.0,2,"[113.1, 138.3]",80.0,[1.88 6.16],None
./to_push/data/2017-ULU01_0+1_20170809_060602.wav,2017-08-09 06:07:42,2017-08-09 06:09:22,50.0 - 1000.0,2,"[138.3, 150.2]",80.0,[6.53 3.29],None
./to_push/data/2017-ULU01_0+1_20170809_060602.wav,2017-08-09 06:09:22,2017-08-09 06:11:02,50.0 - 1000.0,3,"[113.1, 138.3, 150.9]",80.0,[2.89 4.41 2.16],None
./to_push/data/2017-ULU01_0+1_20170726_113602.wav,2017-07-26 11:36:02,2017-07-26 11:37:42,50.0 - 1000.0,0,[],93.0,[],None
./to_push/data/2017-ULU01_0+1_20170726_113602.wav,2017-07-26 11:37:42,2017-07-26 11:39:22,50.0 - 1000.0,0,[],93.0,[],None
./to_push/data/2017-ULU01_0+1_20170726_113602.wav,2017-07-26 11:39:22,2017-07-26 11:41:02,50.0 - 1000.0,1,[151.6],93.0,[5.95],None
./to_push/data/2017-ULU01_0+1_20170930_213602.wav,2017-09-30 21:36:02,2017-09-30 21:37:42,50.0 - 1000.0,0,[],91.0,[],None
./to_push/data/2017-ULU01_0+1_20170930_213602.wav,2017-09-30 21:37:42,2017-09-30 21:39:22,50.0 - 1000.0,0,[],91.0,[],None
./to_push/data/2017-ULU01_0+1_20170930_213602.wav,2017-09-30 21:39:22,2017-09-30 21:41:02,50.0 - 1000.0,0,[],91.0,[],None
./to_push/data/2017-ULU01_0+1_20170725_180602.wav,2017-07-25 18:06:02,2017-07-25 18:07:42,50.0 - 1000.0,1,[163.5],94.0,[9.62],None
./to_push/data/2017-ULU01_0+1_20170725_180602.wav,2017-07-25 18:07:42,2017-07-25 18:09:22,50.0 - 1000.0,1,[139.0],93.0,[5.33],None
./to_push/data/2017-ULU01_0+1_20170725_180602.wav,2017-07-25 18:09:22,2017-07-25 18:11:02,50.0 - 1000.0,1,[122.4],93.0,[7.35],None
./to_push/data/2017-ULU01_0+1_20170728_190602.wav,2017-07-28 19:06:02,2017-07-28 19:07:42,50.0 - 1000.0,0,[],93.0,[],None
./to_push/data/2017-ULU01_0+1_20170728_190602.wav,2017-07-28 19:07:42,2017-07-28 19:09:22,50.0 - 1000.0,1,[175.5],87.0,[5.65],None
./to_push/data/2017-ULU01_0+1_20170728_190602.wav,2017-07-28 19:09:22,2017-07-28 19:11:02,50.0 - 1000.0,0,[],89.0,[],None
