filename,start time,end time,freq. band (Hz),number of peaks,peaks freq. (Hz),SPL (dB),SNLD (dB),AIS
./to_push/data/2017-ULU01_0+1_20170728_193602.wav,2017-07-28 19:36:02,2017-07-28 19:41:02,50.0 - 1000.0,0,[],93.0,[],None
./to_push/data/2017-ULU01_0+1_20170930_230602.wav,2017-09-30 23:06:02,2017-09-30 23:11:02,50.0 - 1000.0,0,[],96.0,[],None
./to_push/data/2017-ULU01_0+1_20170809_060602.wav,2017-08-09 06:06:02,2017-08-09 06:11:02,50.0 - 1000.0,3,"[113.1, 138.3, 150.9]",80.0,[1.82 5.85 2.37],None
./to_push/data/2017-ULU01_0+1_20170726_113602.wav,2017-07-26 11:36:02,2017-07-26 11:41:02,50.0 - 1000.0,0,[],93.0,[],None
./to_push/data/2017-ULU01_0+1_20170930_213602.wav,2017-09-30 21:36:02,2017-09-30 21:41:02,50.0 - 1000.0,0,[],91.0,[],None
./to_push/data/2017-ULU01_0+1_20170725_180602.wav,2017-07-25 18:06:02,2017-07-25 18:11:02,50.0 - 1000.0,2,"[122.4, 163.5]",93.0,[6.38 8.4 ],None
./to_push/data/2017-ULU01_0+1_20170728_190602.wav,2017-07-28 19:06:02,2017-07-28 19:11:02,50.0 - 1000.0,0,[],91.0,[],None
./to_push/data/2017-ULU01_0+1_20170930_220602.wav,2017-09-30 22:06:02,2017-09-30 22:11:02,50.0 - 1000.0,0,[],91.0,[],None
./to_push/data/2017-ULU01_0+1_20170727_233602.wav,2017-07-27 23:36:02,2017-07-27 23:41:02,50.0 - 1000.0,0,[],94.0,[],None
./to_push/data/2017-ULU01_0+1_20170729_123602.wav,2017-07-29 12:36:02,2017-07-29 12:41:02,50.0 - 1000.0,1,[142.9],93.0,[6.92],None
./to_push/data/2017-ULU01_0+1_20170930_190602.wav,2017-09-30 19:06:02,2017-09-30 19:11:02,50.0 - 1000.0,0,[],98.0,[],None
./to_push/data/2017-ULU01_0+1_20170728_210602.wav,2017-07-28 21:06:02,2017-07-28 21:11:02,50.0 - 1000.0,0,[],92.0,[],None
./to_push/data/2017-ULU01_0+1_20170930_203602.wav,2017-09-30 20:36:02,2017-09-30 20:41:02,50.0 - 1000.0,0,[],95.0,[],None
./to_push/data/2017-ULU01_0+1_20170930_223602.wav,2017-09-30 22:36:02,2017-09-30 22:41:02,50.0 - 1000.0,0,[],93.0,[],None
./to_push/data/2017-ULU01_0+1_20170728_113602.wav,2017-07-28 11:36:02,2017-07-28 11:41:02,50.0 - 1000.0,2,"[204.0, 214.6]",87.0,[8.65 4.95],None
./to_push/data/2017-ULU01_0+1_20170728_100602.wav,2017-07-28 10:06:02,2017-07-28 10:11:02,50.0 - 1000.0,4,"[144.9, 178.1, 198.7, 395.9]",89.0,[7.77 8.39 5.09 6.12],None
./to_push/data/2017-ULU01_0+1_20170728_170602.wav,2017-07-28 17:06:02,2017-07-28 17:11:02,50.0 - 1000.0,1,[102.4],100.0,[8.09],None
./to_push/data/2017-ULU01_0+1_20170728_103602.wav,2017-07-28 10:36:02,2017-07-28 10:41:02,50.0 - 1000.0,6,"[67.9, 105.8, 128.3, 184.1, 210.7, 236.5]",87.0,[ 4.38 10.73  3.15  6.78  9.16  5.98],None
./to_push/data/2017-ULU01_0+1_20170809_063602.wav,2017-08-09 06:36:02,2017-08-09 06:41:02,50.0 - 1000.0,3,"[113.1, 138.3, 150.2]",81.0,[2.45 6.33 2.34],None
./to_push/data/2017-ULU01_0+1_20170930_233602.wav,2017-09-30 23:36:02,2017-09-30 23:41:02,50.0 - 1000.0,0,[],97.0,[],None
./to_push/data/2017-ULU01_0+1_20170726_183602.wav,2017-07-26 18:36:02,2017-07-26 18:41:02,50.0 - 1000.0,1,[67.3],90.0,[4.22],None
./to_push/data/2017-ULU01_0+1_20170725_193602.wav,2017-07-25 19:36:02,2017-07-25 19:41:02,50.0 - 1000.0,3,"[80.5, 109.7, 154.2]",106.0,[6.53 6.96 5.31],None
./to_push/data/2017-ULU01_0+1_20170930_210602.wav,2017-09-30 21:06:02,2017-09-30 21:11:02,50.0 - 1000.0,0,[],93.0,[],None
./to_push/data/2017-ULU01_0+1_20170727_113602.wav,2017-07-27 11:36:02,2017-07-27 11:41:02,50.0 - 1000.0,0,[],93.0,[],None
./to_push/data/2017-ULU01_0+1_20170728_143602.wav,2017-07-28 14:36:02,2017-07-28 14:41:02,50.0 - 1000.0,0,[],97.0,[],None
./to_push/data/2017-ULU01_0+1_20170809_070602.wav,2017-08-09 07:06:02,2017-08-09 07:11:02,50.0 - 1000.0,3,"[113.1, 138.3, 150.9]",79.0,[3.41 5.69 5.93],None
./to_push/data/2017-ULU01_0+1_20170930_200602.wav,2017-09-30 20:06:02,2017-09-30 20:11:02,50.0 - 1000.0,0,[],96.0,[],None
./to_push/data/2017-ULU01_0+1_20170728_163602.wav,2017-07-28 16:36:02,2017-07-28 16:41:02,50.0 - 1000.0,0,[],94.0,[],None
./to_push/data/2017-ULU01_0+1_20170729_190602.wav,2017-07-29 19:06:02,2017-07-29 19:11:02,50.0 - 1000.0,1,[247.8],98.0,[7.45],None
./to_push/data/2017-ULU01_0+1_20170930_193602.wav,2017-09-30 19:36:02,2017-09-30 19:41:02,50.0 - 1000.0,0,[],97.0,[],None
