,filename,start time,end time,freq. band (Hz),number of peaks,peaks freq. (Hz),SPL (dB),SNLD (dB),AIS,label_annot
0,2017-ULU01_0+1_20170725_180602.wav,2017-07-25 18:07:42,2017-07-25 18:09:22,50.0 - 1000.0,1,[138.5],93.0,[5.52],,1.0
1,2017-ULU01_0+1_20170725_180602.wav,2017-07-25 18:09:22,2017-07-25 18:11:02,50.0 - 1000.0,1,[122.5],93.0,[7.24],,1.0
2,2017-ULU01_0+1_20170725_180602.wav,2017-07-25 18:06:02,2017-07-25 18:07:42,50.0 - 1000.0,1,[163.0],94.0,[9.59],,1.0
3,2017-ULU01_0+1_20170725_193602.wav,2017-07-25 19:36:02,2017-07-25 19:37:42,50.0 - 1000.0,3,"[190.0, 366.0, 386.0]",100.0,[2.16 1.86 1.2 ],,1.0
4,2017-ULU01_0+1_20170725_193602.wav,2017-07-25 19:37:42,2017-07-25 19:39:22,50.0 - 1000.0,6,"[109.5, 118.0, 164.0, 218.0, 273.0, 328.0]",107.0,[5.69 3.05 3.42 3.68 3.45 2.33],,1.0
5,2017-ULU01_0+1_20170725_193602.wav,2017-07-25 19:39:22,2017-07-25 19:41:02,50.0 - 1000.0,7,"[80.0, 109.0, 146.5, 153.5, 160.0, 222.0, 292.0]",107.0,[7.84 7.97 6.49 5.72 3.37 1.74 3.42],,1.0
6,2017-ULU01_0+1_20170726_113602.wav,2017-07-26 11:36:02,2017-07-26 11:37:42,50.0 - 1000.0,0,[],93.0,[],,1.0
7,2017-ULU01_0+1_20170726_113602.wav,2017-07-26 11:37:42,2017-07-26 11:39:22,50.0 - 1000.0,0,[],93.0,[],,1.0
8,2017-ULU01_0+1_20170726_113602.wav,2017-07-26 11:39:22,2017-07-26 11:41:02,50.0 - 1000.0,1,[151.5],93.0,[6.07],,1.0
9,2017-ULU01_0+1_20170726_183602.wav,2017-07-26 18:39:22,2017-07-26 18:41:02,50.0 - 1000.0,0,[],90.0,[],,1.0
10,2017-ULU01_0+1_20170726_183602.wav,2017-07-26 18:36:02,2017-07-26 18:37:42,50.0 - 1000.0,3,"[67.5, 73.0, 145.0]",91.0,[4.32 5.78 2.74],,1.0
11,2017-ULU01_0+1_20170726_183602.wav,2017-07-26 18:37:42,2017-07-26 18:39:22,50.0 - 1000.0,1,[66.5],90.0,[9.25],,1.0
12,2017-ULU01_0+1_20170727_113602.wav,2017-07-27 11:36:02,2017-07-27 11:37:42,50.0 - 1000.0,0,[],90.0,[],,1.0
13,2017-ULU01_0+1_20170727_113602.wav,2017-07-27 11:39:22,2017-07-27 11:41:02,50.0 - 1000.0,5,"[122.5, 142.5, 244.0, 538.0, 544.0]",94.0,[7.46 5.6  5.4  2.07 1.09],,1.0
14,2017-ULU01_0+1_20170727_113602.wav,2017-07-27 11:37:42,2017-07-27 11:39:22,50.0 - 1000.0,2,"[155.5, 304.0]",92.0,[5.78 2.27],,1.0
15,2017-ULU01_0+1_20170727_233602.wav,2017-07-27 23:39:22,2017-07-27 23:41:02,50.0 - 1000.0,1,[721.0],84.0,[1.24],,1.0
16,2017-ULU01_0+1_20170727_233602.wav,2017-07-27 23:37:42,2017-07-27 23:39:22,50.0 - 1000.0,3,"[144.5, 177.0, 532.0]",93.0,[4.5  4.01 2.46],,1.0
17,2017-ULU01_0+1_20170727_233602.wav,2017-07-27 23:36:02,2017-07-27 23:37:42,50.0 - 1000.0,2,"[206.25, 233.0]",97.0,[3.66 1.12],,1.0
18,2017-ULU01_0+1_20170728_100602.wav,2017-07-28 10:09:22,2017-07-28 10:11:02,50.0 - 1000.0,4,"[132.0, 264.5, 363.0, 396.5]",92.0,[11.46  4.97  3.45  6.64],,1.0
19,2017-ULU01_0+1_20170728_100602.wav,2017-07-28 10:07:42,2017-07-28 10:09:22,50.0 - 1000.0,5,"[134.0, 144.5, 178.5, 267.0, 289.0]",87.0,[8.31 9.09 8.63 5.34 6.31],,1.0
20,2017-ULU01_0+1_20170728_100602.wav,2017-07-28 10:06:02,2017-07-28 10:07:42,50.0 - 1000.0,4,"[144.5, 177.5, 266.5, 289.0]",83.0,[6.76 6.22 4.18 4.79],,1.0
21,2017-ULU01_0+1_20170728_103602.wav,2017-07-28 10:37:42,2017-07-28 10:39:22,50.0 - 1000.0,2,"[104.5, 209.5]",85.0,[11.51 10.05],,1.0
